customer_id, store_id, first_name, last_name, email, address_id, active, create_date, last_update, customer_id_old, segment
1,1, MARY, SMITH, MARY.SMITH@sakilacustomer.org,5,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
2,1, PATRICIA, JOHNSON, PATRICIA.JOHNSON@sakilacustomer.org,6,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
3,1, LINDA, WILLIAMS, LINDA.WILLIAMS@sakilacustomer.org,7,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
4,2, BARBARA, JONES, BARBARA.JONES@sakilacustomer.org,8,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
5,1, ELIZABETH, BROWN, ELIZABETH.BROWN@sakilacustomer.org,9,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
6,2, JENNIFER, DAVIS, JENNIFER.DAVIS@sakilacustomer.org,10,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
7,1, MARIA, MILLER, MARIA.MILLER@sakilacustomer.org,11,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
8,2, SUSAN, WILSON, SUSAN.WILSON@sakilacustomer.org,12,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
9,2, MARGARET, MOORE, MARGARET.MOORE@sakilacustomer.org,13,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
10,1, DOROTHY, TAYLOR, DOROTHY.TAYLOR@sakilacustomer.org,14,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
11,2, LISA, ANDERSON, LISA.ANDERSON@sakilacustomer.org,15,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
12,1, NANCY, THOMAS, NANCY.THOMAS@sakilacustomer.org,16,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
13,2, KAREN, JACKSON, KAREN.JACKSON@sakilacustomer.org,17,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
14,2, BETTY, WHITE, BETTY.WHITE@sakilacustomer.org,18,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
15,1, HELEN, HARRIS, HELEN.HARRIS@sakilacustomer.org,19,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
16,2, SANDRA, MARTIN, SANDRA.MARTIN@sakilacustomer.org,20,0, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
17,1, DONNA, THOMPSON, DONNA.THOMPSON@sakilacustomer.org,21,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
18,2, CAROL, GARCIA, CAROL.GARCIA@sakilacustomer.org,22,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
19,1, RUTH, MARTINEZ, RUTH.MARTINEZ@sakilacustomer.org,23,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
20,2, SHARON, ROBINSON, SHARON.ROBINSON@sakilacustomer.org,24,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
21,1, MICHELLE, CLARK, MICHELLE.CLARK@sakilacustomer.org,25,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
22,1, LAURA, RODRIGUEZ, LAURA.RODRIGUEZ@sakilacustomer.org,26,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
23,2, SARAH, LEWIS, SARAH.LEWIS@sakilacustomer.org,27,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20, NULL, NULL
